alert_id,timestamp,incident_priority,alert_type,cve_score,ip_reputation_score,login_attempts,cpu_usage_percent,memory_usage_percent,payload_size,source_ip,user_role,system_context,geolocation
ALERT_0004085,2023-05-22 01:03:17.472224,Low,Phishing,1.7,75.1,4.0,28.6,45.8,311.0,,Support,Web Server,
ALERT_0007840,2023-09-24 14:19:09.314791,Medium,Brute Force,1.8,25.4,4.0,80.4,,1424.0,125.13.136.253,Support,API Gateway,Guyana
ALERT_0001812,2023-03-07 02:55:29.329269,Low,,2.9,75.5,1.0,36.1,70.2,1436.0,20.217.140.68,Support,API Gateway,
ALERT_0001145,2023-02-10 15:07:08.293087,High,Malware,,82.1,13.0,78.9,48.3,,,Support,Database,Monaco
ALERT_0005828,2023-07-17 21:41:22.237909,Low,,1.0,73.2,1.0,11.6,46.2,1725.0,5.53.115.168,Contractor,Web Server,Cyprus
ALERT_0002150,2023-03-17 23:10:58.848530,Medium,DDoS,4.5,51.2,7.0,85.7,66.5,,,Developer,Web Server,Algeria
ALERT_0003930,2023-05-17 02:22:02.772945,Low,Phishing,2.1,49.6,1.0,56.4,,5282.0,,Finance,Database,Portugal
ALERT_0006320,2023-08-03 21:38:53.937818,Low,Malware,1.3,28.3,3.0,43.8,61.0,0.0,56.69.145.147,,API Gateway,Cote d'Ivoire
ALERT_0003291,2023-04-26 17:45:02.240039,Low,Phishing,0.1,50.0,1.0,,15.0,,95.167.44.136,Developer,Web Server,Ireland
ALERT_0000683,2023-01-25 17:27:34.488726,Low,Phishing,0.0,73.7,4.0,12.5,52.9,0.0,,Support,Cloud Instance,Jordan
ALERT_0002841,2023-04-10 04:49:41.235550,Medium,Brute Force,1.3,27.6,1.0,82.8,54.7,282.0,,,Endpoint,Guadeloupe
ALERT_0001003,2023-02-06 09:35:08.965651,Low,Data Exfiltration,1.9,61.4,1.0,66.0,43.9,,,Developer,Web Server,North Macedonia
ALERT_0006756,2023-08-18 02:06:05.935855,Low,,0.0,81.6,1.0,44.6,86.2,,158.76.168.248,Developer,Web Server,Afghanistan
ALERT_0005130,2023-06-24 14:09:42.424360,Low,,0.0,81.9,4.0,0.6,59.9,375.0,,,Web Server,Nigeria
ALERT_0004291,2023-05-29 06:58:20.649585,Medium,Malware,3.1,82.3,3.0,100.0,76.9,574.0,,,Database,Vietnam
ALERT_0002174,2023-03-18 22:06:00.638702,Low,Malware,0.0,61.5,1.0,13.2,54.2,1012.0,,Contractor,API Gateway,Costa Rica
ALERT_0000484,2023-01-18 10:46:14.835242,Low,Malware,0.0,80.5,2.0,25.4,25.1,,,Finance,Cloud Instance,Faroe Islands
ALERT_0003814,2023-05-13 05:25:54.140918,Low,,0.9,44.1,,,55.8,426.0,73.24.146.99,Contractor,API Gateway,Denmark
ALERT_0004415,2023-06-02 01:39:40.721940,Low,Brute Force,2.8,91.4,6.0,39.7,48.2,,43.75.194.243,Support,Web Server,Guyana
ALERT_0000519,2023-01-19 14:29:31.548091,Low,,1.1,85.2,3.0,,73.0,0.0,180.3.89.224,Support,API Gateway,Eritrea
ALERT_0006989,2023-08-27 18:08:30.053069,Low,Malware,1.9,65.3,,33.7,45.3,1026.0,,Developer,Web Server,Wallis and Futuna
ALERT_0001346,2023-02-17 11:05:49.135789,Low,Brute Force,2.0,50.1,1.0,71.4,43.1,723.0,136.135.200.56,Developer,Database,Dominica
ALERT_0000697,2023-01-26 08:13:51.283426,Medium,Malware,2.5,47.0,4.0,56.7,93.0,621.0,113.220.222.207,Developer,Cloud Instance,Kazakhstan
ALERT_0001010,2023-02-06 15:28:14.080324,Low,Malware,0.0,78.8,1.0,51.3,29.3,2811.0,,,,Armenia
ALERT_0006318,2023-08-03 21:06:08.421707,Low,Phishing,2.9,58.4,5.0,29.0,55.2,0.0,,,Endpoint,Malaysia
ALERT_0006596,2023-08-13 00:49:42.365107,Medium,Brute Force,1.5,57.6,6.0,48.7,93.6,1054.0,104.202.216.95,Support,Web Server,French Guiana
ALERT_0002771,2023-04-07 09:16:16.275776,High,,,19.1,17.0,100.0,100.0,16230.0,,Developer,Web Server,Saint Helena
ALERT_0001075,2023-02-08 17:57:53.782046,Medium,Malware,5.7,38.8,,22.6,56.6,,94.100.121.74,Support,API Gateway,Ghana
ALERT_0001340,2023-02-17 09:24:13.037673,Low,Phishing,,52.8,3.0,37.1,88.2,100.0,,Contractor,Web Server,Portugal
ALERT_0002987,2023-04-15 01:27:52.750575,Low,Phishing,2.5,56.9,1.0,,74.2,1165.0,27.64.177.133,Developer,Web Server,Moldova
ALERT_0007710,2023-09-20 18:03:06.045240,Medium,Phishing,,55.4,8.0,,,,,Admin,Endpoint,Moldova
ALERT_0006748,2023-08-17 21:27:51.786659,Low,Phishing,,59.1,,5.2,43.1,1755.0,44.255.109.71,,Web Server,Cyprus
ALERT_0004422,2023-06-02 07:58:05.965379,Low,,0.8,66.7,4.0,17.4,69.5,2688.0,53.181.42.107,Developer,API Gateway,Togo
ALERT_0003393,2023-04-30 17:58:59.123851,Low,Phishing,,87.7,,33.6,44.4,,,Developer,Database,
ALERT_0001484,2023-02-23 05:16:17.108523,Low,Malware,0.3,69.7,3.0,,75.8,99.0,28.241.210.16,,Endpoint,Heard Island and McDonald Islands
ALERT_0004862,2023-06-16 16:07:48.739260,Low,Phishing,3.6,45.3,4.0,24.0,64.8,,,Support,Web Server,Zambia
ALERT_0001935,2023-03-11 03:25:04.480992,Low,,4.0,12.5,3.0,69.5,39.4,,209.114.124.234,Developer,Web Server,
ALERT_0001035,2023-02-07 13:50:43.304510,Low,,2.3,71.2,6.0,7.4,66.1,3584.0,190.230.118.209,Developer,Web Server,
ALERT_0005485,2023-07-06 12:26:53.544052,Low,,4.9,59.1,2.0,33.6,61.5,0.0,188.68.1.177,Admin,API Gateway,Pitcairn Islands
ALERT_0002479,2023-03-29 05:59:10.312119,Medium,Phishing,3.0,30.2,1.0,68.1,80.2,895.0,,,Web Server,Canada
ALERT_0000350,2023-01-13 03:36:12.006310,Low,Phishing,5.3,63.9,1.0,23.1,64.0,,,Contractor,Web Server,Mali
ALERT_0004394,2023-06-01 13:55:44.907202,Low,Malware,0.0,57.0,1.0,59.0,,1224.0,148.202.89.174,Support,Web Server,Spain
ALERT_0004353,2023-05-31 10:30:24.327290,Low,Phishing,3.3,77.5,1.0,65.0,,121.0,,Developer,Cloud Instance,Lesotho
ALERT_0007558,2023-09-15 09:05:33.684120,Low,Malware,0.0,52.0,,22.8,90.6,554.0,,Developer,Web Server,Saint Vincent and the Grenadines
ALERT_0001062,2023-02-08 07:26:11.310174,Low,Brute Force,,86.0,1.0,35.4,73.8,71.0,,Developer,Web Server,Brunei Darussalam
ALERT_0000880,2023-02-01 21:01:09.650341,Low,DDoS,0.0,72.0,1.0,0.0,68.3,1281.0,,Finance,Database,
ALERT_0005603,2023-07-10 10:11:20.419929,Low,,2.3,66.4,4.0,69.0,69.7,664.0,92.191.92.110,,,
ALERT_0002543,2023-03-31 05:51:21.747056,Low,Malware,2.3,23.0,1.0,53.0,60.2,1030.0,57.85.113.227,Developer,,Svalbard & Jan Mayen Islands
ALERT_0006424,2023-08-07 08:31:07.663555,Low,Brute Force,1.7,79.0,3.0,48.4,48.5,313.0,96.167.218.90,Contractor,API Gateway,Gambia
ALERT_0006745,2023-08-17 19:18:33.262744,Low,Phishing,0.9,71.1,1.0,36.4,,1935.0,,Finance,Database,
ALERT_0001851,2023-03-08 03:05:42.128318,Low,Brute Force,1.7,41.8,1.0,24.6,82.8,,,Contractor,Web Server,Vietnam
ALERT_0005403,2023-07-04 07:10:06.096885,Medium,DDoS,3.9,52.5,2.0,80.5,100.0,747.0,186.225.116.109,,Web Server,Malaysia
ALERT_0001678,2023-03-01 18:48:47.769660,High,Malware,6.7,30.7,16.0,44.0,62.2,0.0,,Finance,API Gateway,Mali
ALERT_0001836,2023-03-07 14:59:56.371298,High,Phishing,4.6,100.0,16.0,75.8,98.1,567.0,,,Endpoint,Turks and Caicos Islands
ALERT_0007112,2023-08-31 17:21:53.620669,Low,DDoS,0.1,88.4,2.0,17.4,53.5,90.0,,Support,,Morocco
ALERT_0004953,2023-06-19 09:08:21.362022,Low,,0.0,36.5,1.0,28.7,,1068.0,208.120.236.163,Finance,Web Server,Solomon Islands
ALERT_0004705,2023-06-11 03:18:12.532951,Medium,Brute Force,1.4,48.2,2.0,65.2,55.5,6537.0,,Finance,Web Server,
ALERT_0005200,2023-06-27 13:18:02.827364,Low,Malware,,37.9,3.0,74.4,84.7,0.0,,Finance,Web Server,Saudi Arabia
ALERT_0000458,2023-01-17 14:09:34.346745,Medium,Phishing,4.9,49.9,5.0,53.4,66.3,1607.0,,Admin,API Gateway,Saint Lucia
ALERT_0004648,2023-06-09 02:56:01.259617,Low,Malware,2.6,42.5,,29.4,80.0,,,Finance,Database,Cayman Islands
ALERT_0006508,2023-08-09 23:32:36.793446,Medium,Brute Force,5.4,22.8,2.0,16.3,,1455.0,5.82.142.20,Developer,Cloud Instance,Comoros
ALERT_0003183,2023-04-22 13:52:54.369040,Low,Malware,2.9,90.2,1.0,25.7,39.1,0.0,,Developer,Web Server,Czech Republic
ALERT_0005338,2023-07-01 23:08:57.705253,Low,Phishing,0.0,50.4,1.0,32.0,33.8,1167.0,126.189.230.135,Developer,Web Server,El Salvador
ALERT_0001946,2023-03-11 13:56:05.216373,Low,Malware,1.0,61.2,6.0,39.9,79.2,4589.0,,,API Gateway,Gabon
ALERT_0006125,2023-07-28 03:58:31.340259,Low,Phishing,0.3,64.3,1.0,5.6,,,182.168.1.222,Finance,Web Server,Tokelau
ALERT_0003264,2023-04-25 14:31:23.479707,Low,Phishing,5.1,74.1,1.0,1.7,79.4,513.0,111.231.21.135,Contractor,Database,Peru
ALERT_0006523,2023-08-10 13:24:06.815552,Medium,Malware,2.9,12.1,10.0,38.4,63.0,2342.0,,Finance,Web Server,Barbados
ALERT_0006522,2023-08-10 13:03:25.543985,High,Malware,8.0,19.7,17.0,68.0,91.6,1632.0,139.35.204.221,Admin,Endpoint,Guinea
ALERT_0006703,2023-08-16 17:16:50.609311,Medium,DDoS,5.3,60.6,7.0,23.4,,1157.0,,Developer,API Gateway,Singapore
ALERT_0002989,2023-04-15 05:26:51.325521,Low,Malware,,53.7,5.0,35.4,,,,Finance,Database,Iraq
ALERT_0007021,2023-08-29 01:54:24.503153,Low,Phishing,1.6,68.5,3.0,50.6,78.6,1890.0,78.136.193.121,,Web Server,Christmas Island
ALERT_0001551,2023-02-24 22:21:38.027736,Low,Brute Force,,54.8,4.0,38.3,42.8,1519.0,183.176.197.213,Support,Endpoint,Saint Martin
ALERT_0002165,2023-03-18 14:46:16.574221,Low,Malware,1.5,80.7,3.0,21.2,62.9,1566.0,,Developer,Database,Netherlands
ALERT_0000587,2023-01-22 09:53:29.333784,Medium,Phishing,,80.1,1.0,50.9,78.2,848.0,,,Web Server,Zimbabwe
ALERT_0002406,2023-03-26 13:54:30.503184,Low,Phishing,0.1,80.6,1.0,37.5,37.0,,20.213.198.54,Support,Database,Iceland
ALERT_0006801,2023-08-19 21:22:59.756701,Medium,,,83.3,5.0,51.2,35.3,403.0,,Developer,Endpoint,Saint Martin
ALERT_0003429,2023-05-01 22:45:40.465645,Medium,Phishing,,76.4,9.0,69.7,83.3,1123.0,,Developer,,Japan
ALERT_0002610,2023-04-02 21:56:01.522793,Low,,1.7,28.8,1.0,22.5,50.2,,144.16.221.71,Support,Cloud Instance,Finland
ALERT_0003657,2023-05-08 13:42:17.635164,Medium,Phishing,4.5,56.7,,46.0,76.1,1622.0,42.61.209.224,Finance,Endpoint,
ALERT_0003215,2023-04-23 21:41:16.433674,Low,Phishing,1.9,39.5,2.0,51.5,61.1,1415.0,68.162.198.254,Developer,API Gateway,Germany
ALERT_0003535,2023-05-04 06:32:11.909817,Low,DDoS,3.1,59.2,1.0,54.2,74.1,1261.0,36.118.198.238,Finance,Endpoint,Tanzania
ALERT_0003287,2023-04-26 16:21:45.443145,Medium,Malware,2.9,96.6,,68.8,70.6,796.0,219.20.176.225,Finance,Database,Namibia
ALERT_0002081,2023-03-16 06:33:04.401116,Low,,1.4,52.7,2.0,28.6,52.7,,12.78.47.36,Developer,Endpoint,Malaysia
ALERT_0006956,2023-08-26 07:30:40.233297,Low,,2.9,58.7,1.0,73.5,54.8,0.0,77.26.39.93,Finance,Endpoint,Comoros
ALERT_0006488,2023-08-09 03:15:25.100823,Low,Malware,0.0,52.4,3.0,63.9,,0.0,138.7.176.155,Admin,Web Server,Morocco
ALERT_0000648,2023-01-24 09:37:02.975404,Low,,0.1,50.7,4.0,40.6,,228.0,,Admin,Cloud Instance,Serbia
ALERT_0000223,2023-01-08 07:05:31.116072,Low,,3.4,34.3,2.0,35.2,,479.0,,Developer,Database,Anguilla
ALERT_0006890,2023-08-23 18:51:12.211241,Low,,2.2,56.5,2.0,26.4,62.9,56.0,,Developer,Web Server,Namibia
ALERT_0007679,2023-09-19 19:20:48.021044,Low,Malware,3.6,30.3,1.0,14.4,54.3,311.0,20.206.12.86,,Web Server,Comoros
ALERT_0000024,2023-01-01 20:08:14.297621,Medium,,2.8,24.5,7.0,,78.2,314.0,,,API Gateway,Falkland Islands (Malvinas)
ALERT_0001906,2023-03-09 19:34:31.927778,Medium,,4.9,25.6,4.0,52.4,87.9,,219.169.222.116,Developer,API Gateway,Libyan Arab Jamahiriya
ALERT_0004079,2023-05-21 18:35:18.137453,Low,Brute Force,0.9,48.3,4.0,64.7,33.7,0.0,,Finance,Database,Korea
ALERT_0001555,2023-02-25 01:44:30.495824,Low,Brute Force,1.9,66.5,2.0,62.3,74.0,599.0,,Contractor,Cloud Instance,Pakistan
ALERT_0005724,2023-07-14 05:08:09.951792,Low,Phishing,1.4,87.3,1.0,51.3,51.1,2850.0,10.206.154.222,Developer,Web Server,
ALERT_0005205,2023-06-27 19:03:34.863326,Low,,1.3,47.9,3.0,29.8,63.3,,,Developer,,Andorra
ALERT_0007701,2023-09-20 11:54:29.710695,Low,DDoS,2.5,91.7,1.0,,59.2,1578.0,88.21.229.50,Developer,Cloud Instance,Saint Barthelemy
ALERT_0005841,2023-07-18 07:09:50.457954,Low,Phishing,,15.5,1.0,43.7,72.8,1121.0,85.200.34.86,Developer,Database,Hungary
ALERT_0004946,2023-06-19 06:05:22.380882,Low,DDoS,4.2,71.9,3.0,62.9,36.0,1198.0,72.67.110.137,Admin,Web Server,Poland
ALERT_0001408,2023-02-20 05:30:40.128134,Low,,,57.6,1.0,36.6,64.7,4431.0,27.159.177.18,Support,Endpoint,Samoa
ALERT_0000066,2023-01-02 22:04:26.292435,Low,Brute Force,5.0,66.8,6.0,29.6,81.0,,107.240.2.120,Support,,
ALERT_0006341,2023-08-04 14:37:55.897898,Medium,Brute Force,2.1,56.9,6.0,62.6,43.9,1466.0,,Developer,Web Server,Bahamas
ALERT_0001045,2023-02-07 22:25:25.766505,Medium,,4.2,86.7,4.0,57.0,88.6,2476.0,,Finance,Endpoint,Niue
ALERT_0006689,2023-08-16 02:09:32.469715,Low,Brute Force,2.2,73.3,1.0,,,,186.55.211.154,Finance,,Cook Islands
ALERT_0007925,2023-09-27 05:02:00.560589,Low,Brute Force,1.0,40.7,1.0,39.4,60.1,1678.0,211.78.54.12,Contractor,API Gateway,Guyana
ALERT_0004744,2023-06-12 18:43:14.375004,Low,Phishing,4.1,89.9,1.0,46.7,73.7,1763.0,6.217.77.230,Developer,Endpoint,Netherlands
ALERT_0002032,2023-03-14 16:18:11.854152,Low,DDoS,1.0,79.2,3.0,2.2,56.7,364.0,112.88.93.63,Developer,Database,Heard Island and McDonald Islands
ALERT_0005825,2023-07-17 12:29:12.252104,Low,Malware,3.4,73.1,1.0,26.7,,4869.0,,Finance,Database,Georgia
ALERT_0005245,2023-06-29 01:15:16.060800,Low,Malware,0.3,35.2,5.0,82.3,,,,Finance,Endpoint,Pakistan
ALERT_0005037,2023-06-22 00:19:28.942971,Low,,2.7,57.8,1.0,48.9,73.2,,,Admin,Web Server,New Caledonia
ALERT_0000555,2023-01-20 20:25:34.229172,Low,DDoS,0.0,69.2,1.0,43.3,64.2,1495.0,197.174.147.143,Developer,Web Server,Cook Islands
ALERT_0007312,2023-09-07 04:38:19.946537,Low,,3.3,43.7,1.0,52.2,,2707.0,,Contractor,Web Server,Korea
ALERT_0004395,2023-06-01 13:58:03.701161,Low,Phishing,3.5,44.7,1.0,64.5,60.7,259.0,,Finance,Web Server,Indonesia
ALERT_0005395,2023-07-04 04:17:50.446901,Low,Brute Force,0.3,72.1,,47.4,61.9,,,Finance,API Gateway,Brazil
ALERT_0003536,2023-05-04 06:53:51.741015,Low,Data Exfiltration,0.0,43.2,,35.1,86.3,1087.0,67.255.87.246,Developer,Web Server,Kenya
ALERT_0001700,2023-03-02 12:10:20.772227,Low,,3.7,68.3,1.0,23.3,41.6,1145.0,,Developer,Web Server,North Macedonia
